item_id,condition,topic,features,original,keywords_keep_please,model,sample_idx,expansion,n_clauses,n_unentailed,unentailed_clauses,code,notes,coder,coded_at
aut-002,autistic_style,schedule_fact,literal;info_dense,The meeting starts at 3pm in room 204.,meeting starts 3 pm,llama3.1:8b,1,The meeting starts at 3 pm.,1,0,,,,,
aut-003,autistic_style,decline_invitation,direct,I don't want to go to the party.,want go party,llama3.1:8b,1,I want to go to the party.,1,1,I want to go to the party.,,,,
aut-004,autistic_style,warning_physical,literal,The soup is too hot to eat right now.,soup hot eat,llama3.1:8b,1,I want to eat hot soup.,1,1,I want to eat hot soup.,,,,
aut-006,autistic_style,request_environment,direct,Stop talking. I need quiet to focus.,stop talking need quiet,llama3.1:8b,2,"I need you to stop talking, please.",1,0,,,,,
aut-007,autistic_style,need_food,literal;direct,I am hungry. I want a sandwich.,hungry want sandwich,llama3.1:8b,2,I'm hungry and I want a sandwich.,2,1,I'm hungry and,,,,
aut-009,autistic_style,schedule_fact,info_dense,The bus leaves at 8:15 and takes 40 minutes.,bus leaves 8:15 takes,llama3.1:8b,2,The bus leaves at 8:15 and takes me to work.,2,1,takes me to work.,,,,
aut-013,autistic_style,deadline_fact,info_dense,The report is due Friday at noon.,report due friday noon,llama3.1:8b,2,My report is due on Friday at noon.,1,1,My report is due on Friday at noon.,,,,
aut-015,autistic_style,feedback_negative,low_hedging,Your explanation was confusing.,explanation confusing,llama3.1:8b,2,I don't understand why it's so confusing.,1,1,I don't understand why it's so confusing.,,,,
aut-018,autistic_style,request_environment,direct,Turn the music down.,turn music,llama3.1:8b,2,Can you turn the music on?,1,1,Can you turn the music on?,,,,
aut-019,autistic_style,need_comfort,literal,I am cold. Give me a blanket.,cold give blanket,llama3.1:8b,0,Can you give me a blanket because I am cold?,1,0,,,,,
aut-022,autistic_style,sensory_preference,literal,I don't like loud noises.,like loud noises,llama3.1:8b,0,I don't like loud noises.,1,0,,,,,
aut-023,autistic_style,conversation_repair,direct,You did not answer my question.,answer question,llama3.1:8b,1,I'll answer the question.,1,1,I'll answer the question.,,,,
aut-024,autistic_style,travel_disruption,info_dense,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,llama3.1:8b,2,Our flight has been delayed by two hours.,1,0,,,,,
aut-025,autistic_style,fatigue,literal;direct,I am tired. I need to sleep.,tired need sleep,llama3.1:8b,2,I'm tired and I need sleep.,2,0,,,,,
aut-027,autistic_style,disagreement_decision,direct,I disagree with your decision.,disagree decision,llama3.1:8b,2,I strongly disagree with that decision.,1,1,I strongly disagree with that decision.,,,,
aut-029,autistic_style,time_pressure,info_dense;direct,"The store closes at 9, we have one hour.",store closes 9 have,llama3.1:8b,1,The store closes at 9.,1,0,,,,,
aut-032,autistic_style,directions,info_dense,"Take exit 12, then merge onto Route 9 north.",take exit 12 merge,llama3.1:8b,1,Take the exit 12 and merge.,2,0,,,,,
aut-035,autistic_style,equipment_fault,low_hedging;direct,The printer is broken. Use the other one.,printer broken use other,llama3.1:8b,1,"The printer is broken, so I have to use another one.",1,0,,,,,
aut-036,autistic_style,preference_drink,literal,"I want water, not juice.",want water juice,llama3.1:8b,2,I want some water and juice.,1,1,I want some water and juice.,,,,
aut-037,autistic_style,schedule_fact,info_dense,Class starts Monday at 9am in building C.,class starts monday 9,llama3.1:8b,2,My class starts on Monday at 9.,1,1,My class starts on Monday at 9.,,,,
aut-038,autistic_style,request_object,direct,I need the remote.,need remote,llama3.1:8b,2,I need a remote.,1,0,,,,,
aut-039,autistic_style,comfort_complaint,literal;low_hedging,This chair is uncomfortable.,chair uncomfortable,llama3.1:8b,2,The chair is uncomfortable.,1,0,,,,,
aut-041,autistic_style,comprehension_gap,literal,I don't understand the instructions.,understand instructions,llama3.1:8b,1,I understand the instructions.,1,1,I understand the instructions.,,,,
aut-044,autistic_style,error_report,low_hedging,That answer is incorrect.,answer incorrect,llama3.1:8b,2,My answer was incorrect.,1,0,,,,,
aut-004,autistic_style,warning_physical,literal,The soup is too hot to eat right now.,soup hot eat,qwen2.5:7b-instruct,1,I want to eat hot soup.,1,1,I want to eat hot soup.,,,,
aut-006,autistic_style,request_environment,direct,Stop talking. I need quiet to focus.,stop talking need quiet,qwen2.5:7b-instruct,2,I need quiet; please stop talking.,1,0,,,,,
aut-007,autistic_style,need_food,literal;direct,I am hungry. I want a sandwich.,hungry want sandwich,qwen2.5:7b-instruct,1,I want a sandwich.,1,0,,,,,
aut-009,autistic_style,schedule_fact,info_dense,The bus leaves at 8:15 and takes 40 minutes.,bus leaves 8:15 takes,qwen2.5:7b-instruct,2,The bus leaves at 8:15 and takes me to work.,2,1,takes me to work.,,,,
aut-011,autistic_style,medical_symptom,literal,My stomach hurts.,stomach hurts,qwen2.5:7b-instruct,2,I have a stomach that hurts.,1,0,,,,,
aut-012,autistic_style,refusal,direct;low_hedging,No. I don't want that plan.,want plan,qwen2.5:7b-instruct,0,I want to plan a trip.,1,1,I want to plan a trip.,,,,
aut-014,autistic_style,clothing_fit,literal;direct,This shirt is too tight.,shirt tight,qwen2.5:7b-instruct,2,The shirt is too tight.,1,0,,,,,
aut-015,autistic_style,feedback_negative,low_hedging,Your explanation was confusing.,explanation confusing,qwen2.5:7b-instruct,1,This explanation is confusing.,1,0,,,,,
aut-019,autistic_style,need_comfort,literal,I am cold. Give me a blanket.,cold give blanket,qwen2.5:7b-instruct,2,I'll give you a blanket because you have a cold.,1,1,I'll give you a blanket because you have a cold.,,,,
aut-022,autistic_style,sensory_preference,literal,I don't like loud noises.,like loud noises,qwen2.5:7b-instruct,0,I like loud noises.,1,1,I like loud noises.,,,,
aut-023,autistic_style,conversation_repair,direct,You did not answer my question.,answer question,qwen2.5:7b-instruct,1,I will answer the question.,1,1,I will answer the question.,,,,
aut-024,autistic_style,travel_disruption,info_dense,"The flight is delayed two hours, new departure 6pm.",flight delayed two hours,qwen2.5:7b-instruct,2,My flight has been delayed by two hours.,1,1,My flight has been delayed by two hours.,,,,
aut-025,autistic_style,fatigue,literal;direct,I am tired. I need to sleep.,tired need sleep,qwen2.5:7b-instruct,2,I am tired and need to sleep.,2,1,I am tired and,,,,
aut-027,autistic_style,disagreement_decision,direct,I disagree with your decision.,disagree decision,qwen2.5:7b-instruct,1,I disagree with the decision.,1,0,,,,,
aut-028,autistic_style,medical_symptom,literal,My hands are shaking.,hands shaking,qwen2.5:7b-instruct,0,Hands are shaking.,1,0,,,,,
aut-029,autistic_style,time_pressure,info_dense;direct,"The store closes at 9, we have one hour.",store closes 9 have,qwen2.5:7b-instruct,1,The store closes at 9.,1,0,,,,,
